count,township,county,latitude,longitude,state
176,,"Shelby County",35.1761,-90.0428,TN
1,,"Prince George's County",38.8159,-76.7497,VA
3,Lowrey,,34.804,-81.2393,SC
28,,"Jefferson County",38.2651,-85.7586,KY
10,"Battle Creek",,42.3212,-85.1797,MI
1,Tiskelway,,41.2923,-89.5062,IL
27,"Gaines Landing",,33.4596,-91.2293,AR
1,Guinea,"Caroline County",38.1436,-77.4381,VA
1,"Hogg Island",,37.4162,-75.691,VA
10,Glastonbury,,41.7123,-72.6081,CT
1,"Columbus (Columbia?)",,34.0007,-81.0348,SC
1,Buckeye,"Garrard County",37.7164,-84.5055,KY
5,,"Yazoo County",32.8551,-90.4056,MS
1,"St. Martins Parish","New Iberia County",30.0035,-91.8187,LA
29,Danville,"Boyle County",37.6492,-84.7717,KY
1,"Dean's Pond",,40.3985,-74.5238,NJ
11,,"Tensas Parish",31.9197,-91.2335,LA
1,,"Hart County",37.3232,-85.8485,KY
1,Augusta,,33.4742,-82.0097,GA
1,"Nebraska City",,40.6761,-95.8597,NE
6,"South Windsor",,41.8333,-72.5691,CT
1,Wilmington,,34.2257,-77.9447,NC
20,,"Boyd County",38.4183,-82.6013,KY
1,Warsaw,,34.9993,-78.0911,NC
1,"Taney Town",,39.6579,-77.1744,MD
3,"Scotch Plains",,40.6554,-74.3899,NJ
2," Georgetown]",Washington,0,0," D.C."
2,Geneva,,42.869,-76.9777,NY
7,Princeton,,42.4493,-71.8772,MA
13,,"Chatham County",32.1117,-81.0997,GA
1,"Horn Lake","DeSoto County",34.9586,-90.0347,MS
1,Baltimore,,39.2904,-76.6122,MD
36,,"East Carroll Parish",32.8101,-91.17,LA
1,,"Amelia County",37.3431,-77.9806,VA
23,,"Phillips County",34.5295,-90.5918,AR
1,"Tiskelway ",,41.2923,-89.5062,IL
3," Howe & Co.",,0,0,"East Carroll Parish"
1,,"Charles County",38.4944,-77.1021,MD
14,Richmond,"Fort Bend County",29.5822,-95.7608,TX
194,McGavock,"Mississippi County ",35.5132,-90.1307,AR
4,Bucyrus,,40.8084,-82.9755,OH
2,"Fortress Monroe",,37.0056,-76.3049,VA
5,Penola,,37.9576,-77.3708,VA
2,,"Crittenden County",35.219,-90.1964,AR
1,Clarksville,,39.2064,-76.9433,MD
2,,Franklin,0,0,MS
139,,"Arkansas County",34.2943,-91.3377,AR
7,Melvin,,39.4732,-83.7168,OH
1,,"Jessamine County",37.8843,-84.5722,KY
1,Memphis,,35.1495,-90.049,TN
1,Newburg,"Charles County",38.3773,-76.9542,MD
1,Columbus,,32.461,-84.9877,GA
54,,"Saint Francis County",35.0081,-90.7898,AR
5,"Manassas Station",,38.7517,-77.4746,VA
2,Charleston,,32.7769,-79.9307,SC
2,,"Montgomery County",39.1547,-77.2405,MD
4,"Saratoga Springs",,43.0831,-73.7846,NY
3,Harrodsburg,"Mercer County",37.7653,-84.8438,KY
1,,,0,0,
3,Brooklyn,,40.65,-73.95,NY
1,"Sulfur Well","Jessamine County",37.1012,-85.6343,KY
3,Stamford,,41.0534,-73.5387,CT
14,,"Tippah County",34.8093,-88.8579,MS
1,Staunton,,38.1496,-79.0717,VA
2,Ulster,,41.8459,-76.5019,PA
1," Esquire",Washington,0,0," D.C."
1,,"Tunica County",34.701,-90.382,MS
3,Millersville,,39.0594,-76.6483,MD
1,Utica,,43.1009,-75.2327,NY
3,Stephensville,,44.3733,-88.5843,WI
68,,"Lauderdale County",34.8042,-87.6757,AL
3,,"Daviess County",37.7742,-87.1133,KY
2,Sligo,,38.9962,-77.0283,MD
12,,"Chesterfield County",37.3533,-77.4361,VA
27,unknown,,30.2672,-97.7431,TX
6,,"Jefferson County",34.2362,-92.0029,AR
13,Columbia,"Brazoria County",29.142,-95.6453,TX
1,13,"William A. Johnson",0,0," Sr."
5,Fredericksburg,,38.2996,-77.4605,VA
1," Esquire",Uniontown,0,0,
1,,unknown,0,0,MS
3,"New Hartford",,41.8823,-72.9771,CT
2,Haysville,,40.5261,-80.1544,PA
8,,"Dinwiddie County",37.0781,-77.5867,VA
2,Macon,,32.8407,-83.6324,GA
22,"Ballston Springs",,43.0009,-73.849,NY
1,Buffalo,,40.8084,-82.9755,NY
3,Worcester,,42.2626,-71.8023,MA
2,"Orange Court House",,38.2454,-78.1108,VA
3,Bladensburg,,38.9393,-76.9339,MD
6,Petersburg,,37.2279,-77.4014,VA
35,"South Glastonbury",,41.6438,-72.5723,CT
1,Cleveland,,41.486,-81.6957,OH
1,Allentown,,40.6084,-75.4902,PA
54,"Port Sullivan",,30.8658,-96.6953,TX
8,,"Unknown (likely Baltimore)",39.084,-77.1528,MD
1,Louisville,"Jefferson County",38.2651,-85.7586,KY
10,Warrenton,,38.7135,-77.7953,VA
12,Edgerton,,42.8353,-89.0676,WI
8,Lexington,"Fayette County",38.0492,-84.4945,KY
1,"Ashley Falls",,42.0554,-73.3351,MA
6,"Piney Branch (likely)",,38.2557,-77.6364,VA
13,,"Washington County",33.4134,-91.0619,MS
1,Louisville,,38.2651,-85.7586,KY
1,,"Henderson County",38.2651,-85.7586,KY
3,Sparland,,41.0286,-89.4384,IL
74,,"Phillips County",34.5261,-90.6014,AR
