count,office,gender
6,Alexandria,female
26,"Camp Nelson",female
126,Chattanooga,female
31,Louisville,female
163,Memphis,female
63,Petersburg,female
269,"Wisewell Barracks",female
684,NULL,female
162,Alexandria,male
80,"Camp Nelson",male
291,Chattanooga,male
90,Louisville,male
226,Memphis,male
53,Petersburg,male
525,"Wisewell Barracks",male
1427,NULL,male
10,Chattanooga,unknown
4,Louisville,unknown
36,Memphis,unknown
13,Petersburg,unknown
63,NULL,unknown
2,"Wisewell Barracks",unspecified
2,NULL,unspecified
2176,NULL,NULL
