count,class,office
1,,Alexandria
160,Agricultural,Alexandria
1,Domestic,Alexandria
6,Laborer,Alexandria
106,unspecified,"Camp Nelson"
414,Agricultural,Chattanooga
13,unspecified,Chattanooga
3,11,Louisville
1,12,Louisville
94,Agricultural,Louisville
11,Domestic,Louisville
11,"Farm Laborer",Louisville
1,"General Laborer",Louisville
3,Laborer,Louisville
1,unknown,Louisville
1,,Memphis
1,1,Memphis
386,Agricultural,Memphis
1,Domestic,Memphis
19,Other,Memphis
17,unspecified,Memphis
2," Wash and Iron",Petersburg
40,Agricultural,Petersburg
77,Domestic,Petersburg
7,Laborer,Petersburg
3,Other,Petersburg
3," -77.02184200286865","Wisewell Barracks"
1,42.358431,"Wisewell Barracks"
307,Agricultural,"Wisewell Barracks"
35,Cook,"Wisewell Barracks"
120,Domestic,"Wisewell Barracks"
1,Farmer,"Wisewell Barracks"
2,Groom,"Wisewell Barracks"
78,Laborer,"Wisewell Barracks"
9,Nurse,"Wisewell Barracks"
61,Other,"Wisewell Barracks"
1,Retail,"Wisewell Barracks"
175,unspecified,"Wisewell Barracks"
1,Waiter,"Wisewell Barracks"
2,Waitress,"Wisewell Barracks"
