count,class,office
1,,Alexandria
1,,Memphis
2,,NULL
3," -77.02184200286865","Wisewell Barracks"
3," -77.02184200286865",NULL
2," Wash and Iron",Petersburg
2," Wash and Iron",NULL
1,1,Memphis
1,1,NULL
3,11,Louisville
3,11,NULL
1,12,Louisville
1,12,NULL
1,42.358431,"Wisewell Barracks"
1,42.358431,NULL
160,Agricultural,Alexandria
414,Agricultural,Chattanooga
94,Agricultural,Louisville
386,Agricultural,Memphis
40,Agricultural,Petersburg
307,Agricultural,"Wisewell Barracks"
1401,Agricultural,NULL
35,Cook,"Wisewell Barracks"
35,Cook,NULL
1,Domestic,Alexandria
11,Domestic,Louisville
1,Domestic,Memphis
77,Domestic,Petersburg
120,Domestic,"Wisewell Barracks"
210,Domestic,NULL
11,"Farm Laborer",Louisville
11,"Farm Laborer",NULL
1,Farmer,"Wisewell Barracks"
1,Farmer,NULL
1,"General Laborer",Louisville
1,"General Laborer",NULL
2,Groom,"Wisewell Barracks"
2,Groom,NULL
6,Laborer,Alexandria
3,Laborer,Louisville
7,Laborer,Petersburg
78,Laborer,"Wisewell Barracks"
94,Laborer,NULL
9,Nurse,"Wisewell Barracks"
9,Nurse,NULL
19,Other,Memphis
3,Other,Petersburg
61,Other,"Wisewell Barracks"
83,Other,NULL
1,Retail,"Wisewell Barracks"
1,Retail,NULL
1,unknown,Louisville
1,unknown,NULL
106,unspecified,"Camp Nelson"
13,unspecified,Chattanooga
17,unspecified,Memphis
175,unspecified,"Wisewell Barracks"
311,unspecified,NULL
1,Waiter,"Wisewell Barracks"
1,Waiter,NULL
2,Waitress,"Wisewell Barracks"
2,Waitress,NULL
2176,NULL,NULL
